repo,category,subcat,stars,star_1d,star_1d_pct,star_7d,star_7d_pct,forks,description,top_devs,contributors,created_at,updated_at,downloads*
promptfoo/promptfoo,AI engineering,Prompt engineering,4142,16,0.39%,87,2.11%,298,"Test your prompts, agents, and RAGs. Red teaming, pentesting, and vulnerability scanning for LLMs. Compare performance of GPT, Claude, Gemini, Llama, and more. Simple declarative configs with command line and CI/CD integration.","typpo, mldangelo, sklein12",98,2023-04-28,2024-09-12,0
xorbitsai/inference,Infrastructure,Serving,4750,16,0.34%,89,1.88%,372,"Replace OpenAI GPT with another LLM in your app by changing a single line of code. Xinference gives you the freedom to use any LLM you need. With Xinference, you're empowered to run inference with any open-source language models, speech recognition models, and multimodal models, whether in the cloud, on-premises, or even on your laptop.","ChengjieLi28, UranusSeven, codingl2k1",70,2023-06-14,2024-09-12,0
Lightning-AI/litgpt,Model development,Modeling & training,9743,16,0.16%,102,1.05%,972,"20+ high-performance LLMs with recipes to pretrain, finetune and deploy at scale.","carmocca, rasbt, awaelchli",80,2023-05-04,2024-09-11,0
photoprism/photoprism,Applications,Data organization,34614,16,0.05%,188,0.54%,1901,AI-Powered Photos App for the Decentralized Web 🌈💎✨,"lastzero, graciousgrey, weblate",100+,2018-01-27,2024-09-09,198
microsoft/DeepSpeed,Model development,Modeling & training,34676,16,0.05%,82,0.24%,4044,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.","jeffra, mrwyattii, tjruwase",100+,2020-01-23,2024-09-12,0
simonw/llm,Applications,Bots,3999,15,0.38%,111,2.79%,214,Access large language models from the command-line,"simonw, cmungall, flabat",21,2023-04-01,2024-09-08,0
Unstructured-IO/unstructured,AI engineering,AIE framework,8397,15,0.18%,94,1.12%,691,"Open source libraries and APIs to build custom preprocessing pipelines for labeling, training, or production machine learning pipelines. ","MthwRobinson, scanny, rbiseck3",100+,2022-09-26,2024-09-11,0
EleutherAI/lm-evaluation-harness,AI engineering,Evals,6387,15,0.24%,68,1.07%,1688,A framework for few-shot evaluation of language models.,"lintangsutawika, haileyschoelkopf, leogao2",100+,2020-08-28,2024-09-10,0
vanna-ai/vanna,Applications,Coding,10729,15,0.14%,100,0.93%,831,🤖 Chat with your SQL database 📊. Accurate Text-to-SQL Generation via LLMs using RAG 🔄.,"zainhoda, andreped, arslanhashmi",53,2023-05-13,2024-09-05,0
Dao-AILab/flash-attention,Model development,Inference optimization,13353,15,0.11%,105,0.79%,1212,Fast and memory-efficient exact attention,"tridao, piercefreeman, ksivaman",83,2022-05-19,2024-09-10,472239
go-skynet/LocalAI,AI engineering,AIE framework,23193,15,0.06%,130,0.56%,1757,":robot: The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI,  running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more models architectures. Features: Generate Text, Audio, Video, Images, Voice Cloning, Distributed inference","mudler, localai-bot, ci-robbot",100+,2023-03-18,2024-09-11,6683
huggingface/peft,Model development,Modeling & training,15786,15,0.10%,81,0.51%,1522,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.,"pacman100, BenjaminBossan, younesbelkada",100+,2022-11-25,2024-09-11,0
chatchat-space/Langchain-Chatchat,AI engineering,AIE framework,31145,15,0.05%,105,0.34%,5439,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM, Qwen 与 Llama 等语言模型的 RAG 与 Agent 应用 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain ","imClumsyPanda, liunux4odoo, hzg0601",100+,2023-03-31,2023-10-27,0
e2b-dev/awesome-ai-agents,Lists,,9633,14,0.15%,106,1.10%,689,A list of AI autonomous agents,"tizkovatereza, mlejva, zhimin-z",52,2023-06-19,2024-07-28,0
chroma-core/chroma,Infrastructure,VectorDB,14470,14,0.10%,92,0.64%,1206,the AI-native open-source embedding database,"jeffchuber, HammadB, levand",100+,2022-10-05,2024-09-12,32
openai/tiktoken,Model development,Dataset engineering,11742,14,0.12%,65,0.55%,798,tiktoken is a fast BPE tokeniser for use with OpenAI's models.,"hauntsaninja, alvarobartt, arvid220u",15,2022-12-01,2023-04-02,0
ggerganov/whisper.cpp,Model development,Inference optimization,34344,14,0.04%,150,0.44%,3487,Port of OpenAI's Whisper model in C/C++,"ggerganov, JohannesGaessler, slaren",100+,2022-09-25,2024-09-11,76632
CompVis/stable-diffusion,Model repo,,67454,14,0.02%,91,0.13%,10073,A latent text-to-image diffusion model,"rromb, pesser, patrickvonplaten",7,2022-08-10,2022-08-22,0
explodinggradients/ragas,AI engineering,Evals,6531,13,0.20%,93,1.43%,638,Evaluation framework for your Retrieval Augmented Generation (RAG) pipelines,"jjmachan, shahules786, tinomaxthayil",100+,2023-05-08,2024-09-12,0
Chainlit/chainlit,AI engineering,AIE framework,6729,13,0.19%,55,0.82%,872,Build Conversational AI in minutes ⚡️,"willydouhard, alimtunc, ramnes",69,2023-03-14,2024-09-10,0
state-spaces/mamba,Model repo,,12502,13,0.10%,94,0.75%,1051,Mamba SSM architecture,"tridao, albertfgu, epicfilemcnulty",25,2023-12-01,2024-08-06,4470
haotian-liu/LLaVA,Model repo,Multimodal,19227,13,0.07%,129,0.67%,2107,[NeurIPS'23 Oral] Visual Instruction Tuning (LLaVA) built towards GPT-4V level capabilities and beyond.,"haotian-liu, ChunyuanLI, mattmazzola",48,2023-04-17,2023-11-27,0
huggingface/trl,Model development,Modeling & training,9264,13,0.14%,57,0.62%,1161,Train transformer language models with reinforcement learning.,"younesbelkada, lewtun, qgallouedec",100+,2020-03-27,2024-09-11,0
QwenLM/Qwen,Model repo,,13262,13,0.10%,77,0.58%,1075,The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.,"JustinLin610, yangapku, JianxinMa",31,2023-08-03,2024-06-20,0
coqui-ai/TTS,Model development,Modeling & training,33345,13,0.04%,175,0.53%,4046,"🐸💬 - a deep learning toolkit for Text-to-Speech, battle-tested in research and production","erogol, Edresson, WeberJulian",100+,2020-05-20,2023-12-12,1739417
meta-llama/llama3,Model repo,,26054,13,0.05%,126,0.48%,2919,The official Meta Llama 3 GitHub site,"jspisak, ruanslv, astonzhang",25,2024-03-15,2024-04-18,0
huggingface/diffusers,Model development,Modeling & training,25092,13,0.05%,103,0.41%,5183,🤗 Diffusers: State-of-the-art diffusion models for image and audio generation in PyTorch and FLAX.,"patrickvonplaten, sayakpaul, patil-suraj",100+,2022-05-30,2024-09-12,0
dair-ai/Prompt-Engineering-Guide,Tutorials,Prompt engineering,47612,13,0.03%,161,0.34%,4636,"🐙 Guides, papers, lecture, notebooks and resources for prompt engineering","omarsar, behrends, ThunderCatXp",100+,2022-12-16,2024-08-12,0
ray-project/ray,Model development,Modeling & training,33000,13,0.04%,90,0.27%,5583,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,"ericl, sven1977, robertnishihara",100+,2016-10-25,2024-09-12,135
bbycroft/llm-viz,Tutorials,,3782,12,0.32%,70,1.86%,416,3D Visualization of an GPT-style LLM,"bbycroft, iblech",2,2023-03-01,2023-12-05,0
InternLM/lmdeploy,Infrastructure,Serving,4149,12,0.29%,68,1.65%,376,"LMDeploy is a toolkit for compressing, deploying, and serving LLMs.","lvhan028, AllentDan, grimoire",70,2023-06-15,2024-09-11,171
modelscope/agentscope,AI engineering,Agent,4779,12,0.25%,75,1.58%,294,Start building LLM-empowered multi-agent applications in an easier way.,"DavdGao, pan-x-c, qbc2016",27,2024-01-12,2024-09-06,0
weaviate/Verba,Applications,Info aggregation,5981,12,0.20%,88,1.48%,639,Retrieval Augmented Generation (RAG) chatbot powered by Weaviate,"thomashacker, erika-cardenas, dudanogueira",23,2023-07-28,2024-08-30,44
langfuse/langfuse,Infrastructure,Monitoring,5553,12,0.22%,73,1.32%,514,"🪢 Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with LlamaIndex, Langchain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 ","marcklingen, maxdeichmann, hassiebp",47,2023-05-18,2024-09-11,0
FlagOpen/FlagEmbedding,Model development,Modeling & training,6772,12,0.18%,88,1.30%,483,Retrieval and Retrieval-augmented LLMs,"staoxiao, namespace-Pt, 545999961",48,2023-08-02,2024-08-28,0
open-compass/opencompass,AI engineering,Evals,3726,12,0.32%,42,1.13%,397,"OpenCompass is an LLM evaluation platform, supporting a wide range of models (Llama3, Mistral, InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets.","Leymore, bittersweet1999, gaotongxiao",100+,2023-06-15,2024-09-05,3631
ibis-project/ibis,Infrastructure,Data management,5055,12,0.24%,52,1.03%,585,the portable Python dataframe library,"cpcloud, ibis-squawk-bot[bot], kszucs",100+,2015-04-17,2024-09-11,125
guillaumekln/faster-whisper,Infrastructure,Serving,11316,12,0.11%,93,0.82%,945,Faster Whisper transcription with CTranslate2,"guillaumekln, Purfview, trungkienbkhn",41,2023-02-11,2024-07-18,0
NVIDIA/TensorRT-LLM,Model development,Inference optimization,8150,12,0.15%,61,0.75%,897,TensorRT-LLM provides users with an easy-to-use Python API to define Large Language Models (LLMs) and build TensorRT engines that contain state-of-the-art optimizations to perform inference efficiently on NVIDIA GPUs. TensorRT-LLM also contains components to create Python and C++ runtimes that execute those TensorRT engines.,"kaiyux, Shixiaowei02, juney-nvidia",14,2023-08-16,2024-09-10,0
facefusion/facefusion,Applications,Image production,17755,12,0.07%,110,0.62%,2663,Next generation face swapper and enhancer,"henryruhs, sklart",2,2023-08-17,2024-09-10,0
nerfstudio-project/nerfstudio,Model development,Modeling & training,9241,12,0.13%,56,0.61%,1236,A collaboration friendly studio for NeRFs,"tancik, evonneng, ethanweber",100+,2022-05-31,2024-09-10,0
weaviate/weaviate,Infrastructure,VectorDB,10738,12,0.11%,59,0.55%,737,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database​.","etiennedi, antas-marcin, dirkkul",100+,2016-03-30,2024-09-11,179172
lucidrains/denoising-diffusion-pytorch,Model repo,,7898,12,0.15%,42,0.53%,990,Implementation of Denoising Diffusion Probabilistic Model in Pytorch,"lucidrains, Adversarian, AlejandroSantorum",23,2020-08-26,2024-05-30,0
NVIDIA/NeMo,Model development,Modeling & training,11485,12,0.10%,61,0.53%,2404,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)","okuchaiev, blisc, titu1994",100+,2019-08-05,2024-09-12,104939
lucidrains/vit-pytorch,Model repo,,19598,12,0.06%,80,0.41%,2957,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch","lucidrains, zankner, developer0hye",21,2020-10-03,2024-08-20,0
cleanlab/cleanlab,Model development,Dataset engineering,9394,12,0.13%,29,0.31%,723,"The standard data-centric AI package for data quality and machine learning with messy, real-world data and labels.","cgnorthcutt, jwmueller, elisno",50,2018-05-11,2024-09-06,0
hpcaitech/Open-Sora,Model repo,Multimodal,21576,12,0.06%,58,0.27%,2073,Open-Sora: Democratizing Efficient Video Production for All,"zhengzangw, Shen-Chenhui, FrankLeeeee",49,2024-02-20,2024-07-12,0
abi/screenshot-to-code,Applications,Coding,56057,12,0.02%,110,0.20%,6876,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue),"abi, clean99, kachbit",23,2023-11-14,2024-09-06,0
confident-ai/deepeval,AI engineering,Evals,2949,11,0.37%,64,2.18%,214,The LLM Evaluation Framework,"penguine-ip, ColabDog, kritinv",57,2023-08-10,2024-09-12,0
huggingface/text-embeddings-inference,Infrastructure,Serving,2574,11,0.43%,45,1.76%,160,A blazing fast inference solution for text embeddings models,"OlivierDehaene, XciD, MKhalusova",27,2023-10-13,2024-09-05,0
Arize-ai/phoenix,AI engineering,Evals,3438,11,0.32%,32,0.94%,253,AI Observability & Evaluation,"mikeldking, axiomofjoy, RogerHYang",54,2022-11-09,2024-09-12,0
WooooDyy/LLM-Agent-Paper-List,Lists,,6232,11,0.18%,42,0.68%,377,"The paper list of the 86-page paper ""The Rise and Potential of Large Language Model Based Agents: A Survey"" by Zhiheng Xi et al.","WooooDyy, zsxmwjz, Yiwen-Ding",37,2023-09-12,2024-06-07,0
RUCAIBox/LLMSurvey,Lists,,9986,11,0.11%,55,0.55%,787,"The official GitHub page for the survey paper ""A Survey of Large Language Models"".","EliverQ, StevenTang1998, hyp1231",13,2023-03-14,2023-08-31,0
facebookresearch/faiss,Infrastructure,VectorDB,30430,11,0.04%,117,0.38%,3554,A library for efficient similarity search and clustering of dense vectors.,"mdouze, beauby, r-barnes",100+,2017-02-07,1000-01-01,0
Stability-AI/stablediffusion,Model repo,,38372,11,0.03%,87,0.23%,4954,High-Resolution Image Synthesis with Latent Diffusion Models,"rromb, hardmaru, apolinario",17,2022-11-23,2023-03-24,0
openai/evals,AI engineering,Evals,14666,11,0.08%,28,0.19%,2570,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks.","andrew-openai, rlbayes, jwang47",100+,2023-01-23,2023-10-27,0
Chanzhaoyu/chatgpt-web,Applications,Bots,31255,11,0.04%,46,0.15%,11218,用 Express 和  Vue3 搭建的 ChatGPT 演示网页,"Chanzhaoyu, PeterDaveHello, yi-ge",75,2023-02-09,2024-07-19,0
BlinkDL/RWKV-LM,Model repo,,12356,10,0.08%,175,1.42%,838,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding.","BlinkDL, www, saharNooby",5,2021-08-08,2023-10-05,580
jxnl/instructor,AI engineering,Prompt engineering,7484,10,0.13%,98,1.32%,595,structured outputs for llms ,"jxnl, ivanleomk, shreya-51",100+,2023-06-14,2024-08-25,0
marimo-team/marimo,Infrastructure,Toolings,6121,10,0.16%,68,1.11%,199,"A reactive notebook for Python — run reproducible experiments, execute as a script, deploy as an app, and version with git. ","mscolnick, akshayka, dmadisetti",49,2023-08-14,2024-09-12,2
OpenAccess-AI-Collective/axolotl,Model development,Modeling & training,7516,10,0.13%,64,0.85%,813,Go ahead and axolotl questions,"winglian, NanoCode012, tmm1",100+,2023-04-14,2024-04-12,0
